trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,station_uic
-5777610419921593424,ICE,856,Hannover Hbf,2508221728,2508221731,25082217,8000152
-5894767788106580379,ICE,602,Uelzen,2508221328,2508221330,25082213,8000168
-5894767788106580379,ICE,602,Hamburg Hbf,2508221411,2508221415,25082214,8002549
-5894767788106580379,ICE,602,Hamburg-Altona,2508221425,2508221425,25082214,8002553
-5957666693722375587,ICE,773,Hamburg Dammtor,2508221716,2508221716,25082217,8002548
-5957666693722375587,ICE,773,Hamburg Hbf,2508221720,2508221724,25082217,8002549
-5957666693722375587,ICE,773,Hannover Hbf,2508221838,2508221841,25082218,8000152
-5981141401498695982,ICE,508,Uelzen,2508221728,2508221730,25082217,8000168
-5981141401498695982,ICE,508,Hamburg-Harburg,2508221810,2508221812,25082218,8000147
-5981141401498695982,ICE,508,Hamburg Hbf,2508221823,2508221826,25082218,8002549
-5981141401498695982,ICE,508,Hamburg Dammtor,2508221829,2508221830,25082218,8002548
-5981141401498695982,ICE,508,Hamburg-Altona,2508221838,2508221838,25082218,8002553
-6012005053401607387,ICE,770,Hannover Hbf,2508221317,2508221320,25082213,8000152
-6012005053401607387,ICE,770,Hamburg Hbf,2508221436,2508221436,25082214,8002549
-6128794431067673992,IC,2395,Hamburg Dammtor,2508221419,2508221420,25082214,8002548
-6128794431067673992,IC,2395,Hamburg Hbf,2508221425,2508221428,25082214,8002549
-6128794431067673992,IC,2395,Hamburg-Harburg,2508221438,2508221440,25082214,8000147
-6128794431067673992,IC,2395,Lüneburg,2508221456,2508221458,25082214,8000238
-6128794431067673992,IC,2395,Uelzen,2508221513,2508221515,25082215,8000168
-6128794431067673992,IC,2395,Celle,2508221537,2508221538,25082215,8000064
-6128794431067673992,IC,2395,Hannover Hbf,2508221558,2508221601,25082215,8000152
-6270903731699972278,ICE,651,Hannover Hbf,2508221718,2508221721,25082217,8000152
-6388661261727154498,EC,399,Hamburg Hbf,2508222108,2508222108,25082221,8002549
-6452407069337976676,ICE,518,Hamburg-Harburg,2508222001,2508222003,25082220,8000147
-6452407069337976676,ICE,518,Hamburg Hbf,2508222014,2508222017,25082220,8002549
-6452407069337976676,ICE,518,Hamburg Dammtor,2508222020,2508222021,25082220,8002548
-6452407069337976676,ICE,518,Hamburg-Altona,2508222030,2508222030,25082220,8002553
-667854438862135023,ICE,506,Uelzen,2508221928,2508221930,25082219,8000168
-667854438862135023,ICE,506,Hamburg Hbf,2508222011,2508222011,25082220,8002549
-6838918391074923218,ICE,1672,Hamburg-Harburg,2508221316,2508221318,25082213,8000147
-6838918391074923218,ICE,1672,Hamburg Hbf,2508221330,2508221333,25082213,8002549
-6838918391074923218,ICE,1672,Hamburg-Altona,2508221344,2508221344,25082213,8002553
-7098313910274672828,EC,397,Hamburg Hbf,2508221900,2508221900,25082219,8002549
-7124042740131696708,FLX,1366,Hamburg Hbf,2508222032,2508222032,25082220,8002549
-7138074359361066746,ICE,699,Hamburg-Altona,2508221831,2508221831,25082218,8002553
-7138074359361066746,ICE,699,Hamburg Hbf,2508221841,2508221844,25082218,8002549
-7138074359361066746,ICE,699,Lüneburg,2508221909,2508221911,25082219,8000238
-7179928820236290043,ICE,683,Hamburg-Altona,2508221636,2508221636,25082216,8002553
-7179928820236290043,ICE,683,Hamburg Dammtor,2508221645,2508221647,25082216,8002548
-7179928820236290043,ICE,683,Hamburg Hbf,2508221651,2508221701,25082216,8002549
-7179928820236290043,ICE,683,Hamburg-Harburg,2508221710,2508221712,25082217,8000147
-7179928820236290043,ICE,683,Hannover Hbf,2508221822,2508221826,25082218,8000152
-7184453857839759572,ICE,612,Hamburg-Harburg,2508221601,2508221603,25082216,8000147
-7184453857839759572,ICE,612,Hamburg Hbf,2508221614,2508221617,25082216,8002549
-7184453857839759572,ICE,612,Hamburg Dammtor,2508221620,2508221621,25082216,8002548
-7215225803236491059,EC,395,Hamburg Hbf,2508221500,2508221500,25082215,8002549
-721807130937592434,ICE,90,Hannover Hbf,2508222033,2508222036,25082220,8000152
-721807130937592434,ICE,90,Hamburg-Harburg,2508222141,2508222143,25082221,8000147
-721807130937592434,ICE,90,Hamburg Hbf,2508222155,2508222158,25082221,8002549
-7443151309671820141,ICE,846,Hannover Hbf,2508221728,2508221731,25082217,8000152
-7486736309392519814,ICE,546,Hannover Hbf,2508221628,2508221631,25082216,8000152
-7571959228268752477,EC,1190,Hamburg Hbf,2508221851,2508221851,25082218,8002549
-7714364757423921343,ICE,788,Hannover Hbf,2508221632,2508221636,25082216,8000152
-7714364757423921343,ICE,788,Hamburg-Harburg,2508221740,2508221742,25082217,8000147
-7714364757423921343,ICE,788,Hamburg Hbf,2508221753,2508221753,25082217,8002549
-7732825863849667402,ICE,940,Hannover Hbf,2508221328,2508221331,25082213,8000152
-7763686466636471476,IC,2032,Hannover Hbf,2508222023,2508222045,25082220,8000152
-7894185240135079180,ICE,709,Lüneburg,2508221313,2508221315,25082213,8000238
-7937947848915178179,ICE,756,Hannover Hbf,2508221453,2508221456,25082214,8000152
-7949491460536242261,IC,2442,Hannover Hbf,2508221723,2508221740,25082217,8000152
-7956047615718350819,ICE,203,Hamburg-Altona,2508221429,2508221429,25082214,8002553
-7956047615718350819,ICE,203,Hamburg Dammtor,2508221436,2508221437,25082214,8002548
-7956047615718350819,ICE,203,Hamburg Hbf,2508221441,2508221446,25082214,8002549
-7956047615718350819,ICE,203,Hamburg-Harburg,2508221456,2508221457,25082214,8000147
-7958939615159027987,ICE,928,Hamburg-Harburg,2508221738,2508221740,25082217,8000147
-7958939615159027987,ICE,928,Hamburg Hbf,2508221751,2508221754,25082217,8002549
-7958939615159027987,ICE,928,Hamburg-Altona,2508221804,2508221804,25082218,8002553
-7995997926778335401,IC,2312,Hamburg Dammtor,2508221305,2508221306,25082213,8002548
-8160985285898732989,ICE,78,Hamburg Hbf,2508221336,2508221336,25082213,8002549
-8275737537227179086,ICE,945,Hannover Hbf,2508222028,2508222031,25082220,8000152
-828368952981312873,ICE,735,Hamburg-Altona,2508221338,2508221338,25082213,8002553
-828368952981312873,ICE,735,Hamburg Hbf,2508221350,2508221353,25082213,8002549
-828368952981312873,ICE,735,Hamburg-Harburg,2508221402,2508221404,25082214,8000147
