trip_id,category,number,station_name,arrival_dbdatetime,departure_dbdatetime,request_timestamp,request_uic
-7090860956696023190,IC,2393,Hamburg Dammtor,2508191419,2508191420,25081914,8002548
-7090860956696023190,IC,2393,Hamburg Hbf,2508191425,2508191428,25081914,8002549
-7090860956696023190,IC,2393,Hamburg-Harburg,2508191438,2508191440,25081914,8000147
-7090860956696023190,IC,2393,Lüneburg,2508191456,2508191458,25081914,8000238
-7090860956696023190,IC,2393,Uelzen,2508191513,2508191515,25081915,8000168
-7090860956696023190,IC,2393,Celle,2508191537,2508191538,25081915,8000064
-7090860956696023190,IC,2393,Hannover Hbf,2508191558,2508191601,25081915,8000152
-7098313910274672828,EC,397,Hamburg Hbf,2508191900,2508191900,25081919,8002549
-7124042740131696708,FLX,1366,Hamburg Hbf,2508192032,2508192032,25081920,8002549
-7138074359361066746,ICE,699,Hamburg-Altona,2508191836,2508191836,25081918,8002553
-7138074359361066746,ICE,699,Hamburg Hbf,2508191846,2508191849,25081918,8002549
-7138074359361066746,ICE,699,Lüneburg,2508191914,2508191916,25081919,8000238
-7172123497570538305,ICE,559,Hannover Hbf,2508191519,2508191522,25081915,8000152
-7179928820236290043,ICE,683,Hamburg-Altona,2508191636,2508191636,25081916,8002553
-7179928820236290043,ICE,683,Hamburg Dammtor,2508191645,2508191647,25081916,8002548
-7179928820236290043,ICE,683,Hamburg Hbf,2508191651,2508191701,25081916,8002549
-7179928820236290043,ICE,683,Hamburg-Harburg,2508191710,2508191712,25081917,8000147
-7179928820236290043,ICE,683,Hannover Hbf,2508191822,2508191826,25081918,8000152
-7184453857839759572,ICE,612,Hamburg-Harburg,2508191601,2508191603,25081916,8000147
-7184453857839759572,ICE,612,Hamburg Hbf,2508191614,2508191617,25081916,8002549
-7184453857839759572,ICE,612,Hamburg Dammtor,2508191620,2508191621,25081916,8002548
-7215225803236491059,EC,395,Hamburg Hbf,2508191500,2508191500,25081915,8002549
-721807130937592434,ICE,90,Hannover Hbf,2508192033,2508192036,25081920,8000152
-7276497044803552535,ICE,758,Hannover Hbf,2508191253,2508191256,25081912,8000152
-7443151309671820141,ICE,846,Hannover Hbf,2508191728,2508191731,25081917,8000152
-7483129902444507423,ICE,577,Hannover Hbf,2508191238,2508191241,25081912,8000152
-7486736309392519814,ICE,546,Hannover Hbf,2508191628,2508191631,25081916,8000152
-7571959228268752477,EC,1190,Hamburg Hbf,2508191851,2508191851,25081918,8002549
-7589997181813558634,ICE,2969,Hannover Hbf,2508191956,2508191959,25081919,8000152
-7589997181813558634,ICE,2969,Celle,2508192017,2508192018,25081920,8000064
-7589997181813558634,ICE,2969,Uelzen,2508192040,2508192042,25081920,8000168
-7589997181813558634,ICE,2969,Lüneburg,2508192056,2508192058,25081920,8000238
-762086226758254325,ICE,201,Hamburg-Altona,2508191229,2508191229,25081912,8002553
-762086226758254325,ICE,201,Hamburg Dammtor,2508191237,2508191238,25081912,8002548
-762086226758254325,ICE,201,Hamburg Hbf,2508191242,2508191246,25081912,8002549
-762086226758254325,ICE,201,Hamburg-Harburg,2508191255,2508191256,25081912,8000147
-7714364757423921343,ICE,788,Hannover Hbf,2508191632,2508191636,25081916,8000152
-7714364757423921343,ICE,788,Hamburg-Harburg,2508191740,2508191742,25081917,8000147
-7714364757423921343,ICE,788,Hamburg Hbf,2508191753,2508191753,25081917,8002549
-7732825863849667402,ICE,940,Hannover Hbf,2508191328,2508191331,25081913,8000152
-7763686466636471476,IC,2032,Hannover Hbf,2508192023,2508192045,25081920,8000152
-7894185240135079180,ICE,709,Hamburg-Altona,2508191219,2508191219,25081912,8002553
-7894185240135079180,ICE,709,Hamburg Dammtor,2508191227,2508191228,25081912,8002548
-7894185240135079180,ICE,709,Hamburg Hbf,2508191233,2508191240,25081912,8002549
-7894185240135079180,ICE,709,Hamburg-Harburg,2508191252,2508191254,25081912,8000147
-7894185240135079180,ICE,709,Lüneburg,2508191313,2508191315,25081913,8000238
-7949491460536242261,IC,2442,Hannover Hbf,2508191723,2508191740,25081917,8000152
-7956047615718350819,ICE,203,Hamburg-Altona,2508191429,2508191429,25081914,8002553
-7956047615718350819,ICE,203,Hamburg Dammtor,2508191436,2508191437,25081914,8002548
-7956047615718350819,ICE,203,Hamburg Hbf,2508191441,2508191446,25081914,8002549
-7956047615718350819,ICE,203,Hamburg-Harburg,2508191456,2508191457,25081914,8000147
-7958939615159027987,ICE,928,Hamburg-Harburg,2508191738,2508191740,25081917,8000147
-7958939615159027987,ICE,928,Hamburg Hbf,2508191751,2508191754,25081917,8002549
-7958939615159027987,ICE,928,Hamburg-Altona,2508191804,2508191804,25081918,8002553
-7995997926778335401,IC,2312,Hamburg-Harburg,2508191246,2508191248,25081912,8000147
-7995997926778335401,IC,2312,Hamburg Hbf,2508191259,2508191302,25081912,8002549
-7995997926778335401,IC,2312,Hamburg Dammtor,2508191305,2508191306,25081913,8002548
-8160985285898732989,ICE,78,Hannover Hbf,2508191217,2508191220,25081912,8000152
-8160985285898732989,ICE,78,Hamburg Hbf,2508191336,2508191336,25081913,8002549
-8196009632544207530,ICE,807,Hamburg-Altona,2508192035,2508192035,25081920,8002553
-8196009632544207530,ICE,807,Hamburg Hbf,2508192046,2508192049,25081920,8002549
-8275737537227179086,ICE,945,Hannover Hbf,2508192028,2508192031,25081920,8000152
-8488844539277976383,ICE,552,Hannover Hbf,2508192037,2508192040,25081920,8000152
-8593658168921970782,IC,2082,Hannover Hbf,2508191654,2508191657,25081916,8000152
-8593658168921970782,IC,2082,Celle,2508191716,2508191717,25081917,8000064
-8593658168921970782,IC,2082,Uelzen,2508191741,2508191743,25081917,8000168
-8593658168921970782,IC,2082,Lüneburg,2508191757,2508191759,25081917,8000238
-8593658168921970782,IC,2082,Hamburg-Harburg,2508191816,2508191818,25081918,8000147
-8593658168921970782,IC,2082,Hamburg Hbf,2508191830,2508191830,25081918,8002549
-8614664585551473503,ICE,557,Hannover Hbf,2508191319,2508191322,25081913,8000152
-8624992757107064587,ICE,616,Hamburg-Harburg,2508191201,2508191203,25081912,8000147
-8624992757107064587,ICE,616,Hamburg Hbf,2508191214,2508191217,25081912,8002549
-8624992757107064587,ICE,616,Hamburg Dammtor,2508191220,2508191221,25081912,8002548
-8624992757107064587,ICE,616,Hamburg-Altona,2508191230,2508191230,25081912,8002553
-8674838902493379360,IC,2374,Hannover Hbf,2508191356,2508191359,25081913,8000152
-8674838902493379360,IC,2374,Celle,2508191417,2508191418,25081914,8000064
-8674838902493379360,IC,2374,Uelzen,2508191440,2508191442,25081914,8000168
-8674838902493379360,IC,2374,Lüneburg,2508191457,2508191459,25081914,8000238
-8674838902493379360,IC,2374,Hamburg-Harburg,2508191517,2508191518,25081915,8000147
-8674838902493379360,IC,2374,Hamburg Hbf,2508191530,2508191533,25081915,8002549
-8674838902493379360,IC,2374,Hamburg Dammtor,2508191536,2508191537,25081915,8002548
-8701805413806314010,ICE,579,Hamburg Dammtor,2508191315,2508191315,25081913,8002548
-8701805413806314010,ICE,579,Hamburg Hbf,2508191320,2508191324,25081913,8002549
-8701805413806314010,ICE,579,Hannover Hbf,2508191438,2508191441,25081914,8000152
-8717013811231264127,EC,394,Hamburg Hbf,2508191253,2508191253,25081912,8002549
-8718558385229210224,IC,2049,Hannover Hbf,2508191418,2508191436,25081914,8000152
-8796610692411741434,IC,2433,Hannover Hbf,2508191713,2508191736,25081917,8000152
